movieId,titleString,releaseYear,avgRating,oldId
1,Le voyage dans la lune,1902,3.5,32898
2,The Great Train Robbery,1903,2.5,49389
3,El hotel eléctrico,1908,4.0,140541
4,The Birth of a Nation,1915,2.0,7065
5,"20,000 Leagues Under the Sea",1916,3.75,62383
6,Intolerance: Love's Struggle Throughout the Ages,1916,3.5,7243
7,The Rink,1916,3.5,102747
8,Snow White,1916,3.5,72921
9,The Immigrant,1917,4.5,8511
10,Daddy-Long-Legs,1919,2.0,3132
11,Das Cabinet des Dr. Caligari,1920,3.86,6987
12,One Week,1920,3.5,82848
13,The Kid,1921,4.1,3310
14,"Nosferatu, eine Symphonie des Grauens",1922,3.53,1348
15,The Hunchback of Notre Dame,1923,3.0,25746
16,Our Hospitality,1923,3.25,8609
17,Safety Last!,1923,4.0,8235
18,A Woman of Paris: A Drama of Fate,1923,4.0,3641
19,Aelita,1924,4.5,71999
20,The Navigator,1924,3.5,7074
21,Sherlock Jr.,1924,3.0,25750
22,The Thief of Bagdad,1924,3.5,7302
23,Bronenosets Potyomkin,1925,3.65,3742
24,The Freshman,1925,4.0,25752
25,The Gold Rush,1925,4.07,3629
26,Greed,1924,4.0,25753
27,Ben-Hur A Tale of the Christ,1925,3.0,6986
28,Faust: Eine deutsche Volkssage,1926,4.0,4404
29,Geheimnisse einer Seele,1926,4.5,44931
30,The Lodger: A Story of the London Fog,1927,3.5,2227
31,Metropolis,1927,3.86,2010
32,Po zakonu,1926,3.5,120761
33,The Son of the Sheik,1926,4.0,3492
34,The Cat and the Canary,1927,3.0,32060
35,College,1927,3.5,8275
36,The General,1926,4.0,3022
37,The Jazz Singer,1927,4.0,25757
38,The Ring,1927,1.0,2226
39,Sunrise: A Song of Two Humans,1927,4.0,8125
40,The Circus,1928,4.12,3306
41,La passion de Jeanne d'Arc,1928,3.9,6985
42,"Steamboat Bill, Jr.",1928,4.5,25769
43,Steamboat Willie,1928,2.33,2102
44,The Broadway Melody,1929,3.0,1926
45,Chelovek s kino-apparatom,1929,3.33,6433
46,The Cocoanuts,1929,3.5,33312
47,Un chien andalou,1929,4.5,25771
48,All Quiet on the Western Front,1930,4.35,1927
49,Animal Crackers,1930,4.12,7706
50,Anna Christie,1930,3.5,8518
51,Der blaue Engel,1930,4.0,4970
52,The Divorcee,1930,4.0,8424
53,Little Caesar,1931,4.0,25773
54,Cimarron,1931,3.5,1928
55,City Lights,1931,3.85,3307
56,Dracula,1931,3.33,2644
57,Frankenstein,1931,3.91,2648
58,The Front Page,1931,3.5,8302
59,Girls About Town,1931,5.0,84512
60,Iron Man,1931,0.5,167296
61,M - Eine Stadt sucht einen Mörder,1931,3.73,1260
62,The Maltese Falcon,1931,3.62,8228
63,Mädchen in Uniform,1931,3.5,32799
64,The Public Enemy,1931,4.25,7056
65,À nous la liberté,1931,1.0,5560
66,Boudu sauvé des eaux,1932,0.5,25782
67,Dr. Jekyll and Mr. Hyde,1931,2.0,8521
68,A Farewell to Arms,1932,3.0,976
69,Freaks,1932,3.17,8507
70,Grand Hotel,1932,4.0,1929
71,Horse Feathers,1932,4.0,7091
72,I Am a Fugitive from a Chain Gang,1932,3.67,8044
73,The Mummy,1932,3.33,2633
74,Scarface,1932,3.75,25788
75,Das Testament des Dr. Mabuse,1933,4.0,8670
76,Trouble in Paradise,1932,3.5,3739
77,Alice in Wonderland,1933,4.0,80748
78,Dinner at Eight,1933,3.5,25795
79,Duck Soup,1933,3.8,1256
80,Flying Down to Rio,1933,3.0,7049
81,42nd Street,1933,4.0,7080
82,Gold Diggers of 1933,1933,3.5,25797
83,The Invisible Man,1933,3.5,3932
84,King Kong,1933,3.64,2366
85,Little Women,1933,4.0,4921
86,Sons of the Desert,1933,3.0,31851
87,Zéro de conduite,1933,4.0,8601
88,L'Atalante,1934,4.5,25805
89,Babes in Toyland,1934,5.0,3086
90,Chapaev,1934,4.5,48649
91,The Gay Divorcee,1934,3.5,907
92,It Happened One Night,1934,4.32,905
93,The Man Who Knew Too Much,1934,3.67,2212
94,Man of Aran,1934,3.5,6453
95,Of Human Bondage,1934,3.5,959
96,The Thin Man,1934,3.86,950
97,Triumph des Willens,1935,4.17,4278
98,Twentieth Century,1934,,32160
99,The 39 Steps,1935,4.05,965
100,Alice Adams,1935,3.5,6020
101,Anna Karenina,1935,3.5,7092
102,The Bride of Frankenstein,1935,3.17,1340
103,Captain Blood,1935,4.0,8167
104,Gold Diggers of 1935,1935,3.5,31297
105,Man on the Flying Trapeze,1935,4.5,67888
106,A Midsummer Night's Dream,1935,3.5,7057
107,Mutiny on the Bounty,1935,4.17,1931
108,A Night at the Opera,1935,4.11,7132
109,Roberta,1935,4.0,7053
110,A Tale of Two Cities,1935,4.0,6984
111,Top Hat,1935,4.07,945
112,After the Thin Man,1936,2.83,7834
113,Anthony Adverse,1936,3.0,8450
114,Follow the Fleet,1936,3.75,7050
115,Fury,1936,3.38,25825
116,The General Died at Dawn,1936,0.5,65350
117,The Great Ziegfeld,1936,3.5,1932
118,Libeled Lady,1936,3.5,25826
119,Little Lord Fauntleroy,1936,4.0,961
120,Mary of Scotland,1936,3.0,7052
121,Modern Times,1936,3.72,3462
122,Mr. Deeds Goes to Town,1936,3.5,25827
123,My Man Godfrey,1936,3.75,947
124,Sabotage,1936,3.25,2210
125,San Francisco,1936,4.0,33237
126,Secret Agent,1936,3.0,2211
127,Swing Time,1936,4.0,7055
128,Tell Your Children,1936,3.25,7222
129,Winds of the Wasteland,1936,3.5,70492
130,The Awful Truth,1937,4.75,6254
131,Camille,1936,4.0,25833
132,Captains Courageous,1937,4.0,25834
133,A Day at the Races,1937,4.0,8542
134,The Good Earth,1937,4.0,3447
135,La grande illusion,1937,3.71,3134
136,Heidi,1937,2.5,5099
137,King Solomon's Mines,1937,2.5,4800
138,The Life of Emile Zola,1937,3.0,1933
139,Lost Horizon,1937,4.0,944
140,Make Way for Tomorrow,1937,3.5,8335
141,My Favorite Wife,1940,3.0,8712
142,Pépé le Moko,1937,3.25,6035
143,Shall We Dance,1937,4.5,1066
144,Snow White and the Seven Dwarfs,1937,3.62,594
145,Stage Door,1937,4.17,25841
146,A Star Is Born,1937,3.5,3217
147,You Only Live Once,1937,4.5,6515
148,The Adventures of Robin Hood,1938,4.0,940
149,Aleksandr Nevskiy,1938,4.0,7756
150,Angels with Dirty Faces,1938,3.75,8600
151,Boys Town,1938,3.5,31260
152,Bringing Up Baby,1938,3.86,955
153,A Christmas Carol,1938,3.38,1099
154,Holiday,1938,3.0,25850
155,Jezebel,1938,3.83,7078
156,The Lady Vanishes,1938,3.92,2208
157,Porky in Wackyland,1938,4.0,182297
158,Porky's Hare Hunt,1938,4.0,182299
159,Pygmalion,1938,3.5,7086
160,Volga - Volga,1938,3.5,116718
161,You Can't Take It with You,1938,3.83,1934
162,Another Thin Man,1939,3.5,7831
163,At the Circus,1939,3.0,34018
164,Dark Victory,1939,4.0,7061
165,Destry Rides Again,1939,3.75,6412
166,Gone with the Wind,1939,3.64,920
167,"Goodbye, Mr. Chips",1939,3.67,7311
168,Gulliver's Travels,1939,3.0,2899
169,Gunga Din,1939,3.17,7840
170,Hare-um Scare-um,1939,4.0,182293
