nameId,nameString
1,Georges Méliès
2,Victor André
3,Bleuette Bernon
4,Brunnet
5,Jehanne d'Alcy
6,Henri Delannoy
7,Delpierre
8,Farjaux
9,Kelm
10,François Lallement
11,Jean-Benoît Dunckel
12,Nicolas Godin
13,Octavio Vázquez
14,Gilbert M. 'Broncho Billy' Anderson
15,A.C. Abadie
16,George Barnes
17,Justus D. Barnes
18,Walter Cameron
19,John Manus Dougherty Sr.
20,Donald Gallaher
21,Shadrack E. Graham
22,Frank Hanaway
23,Adam Charles Hayman
24,Edwin S. Porter
25,Blair Smith
26,Segundo de Chomón
27,Julienne Mathieu
28,Lillian Gish
29,Mae Marsh
30,Henry B. Walthall
31,Miriam Cooper
32,Mary Alden
33,Ralph Lewis
34,George Siegmann
35,Walter Long
36,Robert Harron
37,Wallace Reid
38,D.W. Griffith
39,Thomas Dixon Jr.
40,Frank E. Woods
41,Woodrow Wilson
42,Joseph Carl Breil
43,G.W. Bitzer
44,Joseph Henabery
45,James Smith
46,Rose Smith
47,Allen Holubar
48,Dan Hanlon
49,Edna Pendleton
50,Curtis Benton
51,Matt Moore
52,Jane Gail
53,Howard Crampton
54,William Welsh
55,Lois Alexander
56,Wallis Clark
57,Stuart Paton
58,Jules Verne
59,Brian Benison
60,Maximilien Mathevon
61,Eugene Gaudio
62,F.A. Turner
63,Sam De Grasse
64,Vera Lewis
65,Eleanor Washington
66,Pearl Elmore
67,Lucille Browne
68,Anita Loos
69,Carl Davis
70,Charles Chaplin
71,Edna Purviance
72,James T. Kelley
73,Eric Campbell
74,Henry Bergman
75,Albert Austin
76,Charlotte Mineau
77,Lloyd Bacon
78,Leota Bryan
79,Frank J. Coleman
80,Michael Mortilla
81,Dorothy Cumming
82,Creighton Hale
83,Lionel Braham
84,Alice Washburn
85,Marguerite Clark
86,Richard Barthelmess
87,Arthur Donaldson
88,Irwin Emmer
89,Addie E. Frank
90,Billy Platt
91,J. Searle Dawley
92,Winthrop Ames
93,H. Lyman Broening
94,Kitty Bradbury
95,William Gillespie
96,Tom Harrington
97,Roland Totheroh
98,George C. 'Duke' Zalibra
99,Mary Pickford
100,Milla Davenport
101,Percy Haswell
102,Fay Lemport
103,Mahlon Hamilton
104,Lillian Langdon
105,Betty Bouton
106,Audrey Chapman
107,Marshall Neilan
108,Carrie Clark Ward
109,Jean Webster
110,Agnes Christine Johnston
111,Charles Rosher
112,Werner Krauss
113,Conrad Veidt
114,Friedrich Feher
115,Lil Dagover
116,Hans Heinrich von Twardowski
117,Rudolf Lettinger
118,Rudolf Klein-Rogge
119,Hans Lanser-Ludolff
120,Henri Peters-Arnolds
121,Ludwig Rex
122,Robert Wiene
123,Carl Mayer
124,Hans Janowitz
125,Alfredo Antonini
126,Giuseppe Becce
127,Timothy Brock
128,Clifton Hyde
129,Willy Hameister
130,Walter Reimann
131,Walter Röhrig
132,Hermann Warm
133,Buster Keaton
134,Sybil Seely
135,Joe Roberts
136,Edward F. Cline
137,Jackie Coogan
138,Carl Miller
139,Beulah Bains
140,Nellie Bly Baker
141,Edward Biby
142,B.F. Blinn
143,Max Schreck
144,Alexander Granach
145,Gustav von Wangenheim
146,Greta Schröder
147,Georg H. Schnell
148,Ruth Landshoff
149,Gustav Botz
150,John Gottowt
151,Max Nemetz
152,Wolfgang Heinz
153,F.W. Murnau
154,Bram Stoker
155,Henrik Galeen
156,Enrico Dieckmann
157,Albin Grau
158,James Bernard
159,James Duhamel
160,Hans Erdmann
161,Carlos U. Garza
162,Fritz Arno Wagner
163,Lon Chaney
164,Patsy Ruth Miller
165,Norman Kerry
166,Kate Lester
167,Winifred Bryson
168,Nigel De Brulier
169,Brandon Hurst
170,Ernest Torrence
171,Tully Marshall
172,Harry von Meter
173,Wallace Worsley
174,Victor Hugo
175,Perley Poore Sheehan
176,Edward T. Lowe Jr.
177,Laura Karpman
178,Nora Kroll-Rosenbaum
179,Sam Perry
180,Heinz Roemheld
181,Robert Newhard
182,Edward Curtiss
183,Maurice Pivar
184,Sydney Singerman
185,Natalie Talmadge
186,Joe Keaton
187,Francis X. Bushman Jr.
188,Monte Collins
189,Craig Ward
190,Buster Keaton Jr.
191,Jim Blackwell
192,John G. Blystone
193,Jean C. Havez
194,Clyde Bruckman
195,Joseph A. Mitchell
196,Gordon Jennings
197,Elgin Lessley
198,Harold Lloyd
199,Mildred Davis
200,Bill Strother
201,Noah Young
202,Westcott Clarke
203,Chester A. Bachman
204,Ed Brandenburg
205,Roy Brooks
206,Charley Chase
207,Fred C. Newmeyer
208,Sam Taylor
209,Hal Roach
210,Tim Whelan
211,H.M. Walker
212,Kevin Brownlow
213,David Gill
214,Jeffrey Vance
215,Don Hulette
216,Walter Lundin
217,Thomas J. Crizer
218,Clarence Geldert
219,Lydia Knott
220,Charles K. French
221,Adolphe Menjou
222,Betty Morrissey
223,Malvina Polo
224,Yuliya Solntseva
225,Igor Ilyinsky
226,Nikolai Tsereteli
227,Nikolay Batalov
228,Vera Orlova
229,Valentina Kuindzhi
230,Pavel Pol
231,Konstantin Eggert
232,Yuri Zavadsky
233,Aleksandra Peregonets
234,Yakov Protazanov
235,Aleksei Fajko
236,Fyodor Otsep
237,Aleksei Tolstoy
238,Emil Schünemann
239,Yuri Zhelyabuzhsky
240,Kathryn McGuire
241,Frederick Vroom
242,Clarence Burton
243,H.N. Clugston
244,Noble Johnson
245,Donald Crisp
246,Antonio Coppola
247,Robert Israel
248,Byron Houck
249,Erwin Connelly
250,Ward Crane
251,Jane Connelly
252,George Davis
253,Doris Deane
254,Christine Francis
255,Betsy Ann Hisle
256,Club Foot Orchestra
257,Roy B. Yokelson
258,Douglas Fairbanks
259,Julanne Johnston
260,Snitz Edwards
261,Charles Belcher
262,Sôjin Kamiyama
263,Anna May Wong
264,Tote Du Crow
265,Sam Baker
266,Raoul Walsh
267,Lotta Woods
268,Arthur Edeson
269,William Nolan
270,Aleksandr Antonov
271,Vladimir Barskiy
272,Grigoriy Aleksandrov
273,Ivan Bobrov
274,Mikhail Gomorov
275,Aleksandr Levshin
276,Nina Poltavtseva
277,Konstantin Feldman
278,Prokhorenko
279,A. Glauberman
280,Sergei Eisenstein
281,Nina Agadzhanova
282,Yakov Bliokh
283,The Berklee Silent Film Orchestra
284,Del Rey & The Sun Kings
285,Yati Durant
286,Chris Jarrett
287,Eduard Tisse
288,Jobyna Ralston
289,Brooks Benedict
290,James H. Anderson
291,Hazel Keener
292,Joseph Harrington
293,Pat Harmon
294,Leon Beaumon
295,Ethel Broadhurst
296,Ted Wilde
297,John Grey
298,Allen McNeil
299,Mack Swain
300,Tom Murray
301,Malcolm Waite
302,Georgia Hale
303,Jack Adams
304,Frank Aderias
305,Leona Aderias
306,Lillian Adrian
307,William P. Perry
308,Gibson Gowland
309,Zasu Pitts
310,Jean Hersholt
311,Dale Fuller
312,Tempe Pigott
313,Sylvia Ashton
314,Chester Conklin
315,Joan Standing
316,William Barlow
317,Lita Chevrier
318,Erich von Stroheim
319,June Mathis
320,Frank Norris
321,William H. Daniels
322,Ben F. Reynolds
323,Joseph Farnham
324,Glenn Morgan
325,Ramon Novarro
326,Francis X. Bushman
327,May McAvoy
328,Betty Bronson
329,Claire McDowell
330,Kathleen Key
331,Carmel Myers
332,Mitchell Lewis
333,Leo White
334,Fred Niblo
335,Lew Wallace
336,Carey Wilson
337,Katherine Hilliker
338,Clyde De Vinna
339,René Guissart
340,Percy Hilburn
341,Karl Struss
342,Lloyd Nosler
343,Gösta Ekman
344,Emil Jannings
345,Camilla Horn
346,Frida Richard
347,William Dieterle
348,Yvette Guilbert
349,Eric Barclay
350,Hanna Ralph
351,Werner Fuetterer
352,Hans Brausewetter
353,Gerhart Hauptmann
354,Hans Kyser
355,Johann Wolfgang von Goethe
356,Erich Pommer
357,Wolfgang Dauner
358,Jacco Gardner
359,Werner R. Heymann
360,Thomas Köner
361,Carl Hoffmann
362,Elfi Böttrich
363,Ruth Weyher
364,Ilka Grüning
365,Jack Trevor
366,Polycarpe Pavloff
367,Hertha von Walther
368,Renate Brausewetter
369,Colin Ross
370,Lili Damita
371,Georg Wilhelm Pabst
372,Karl Abraham
373,Hans Neumann
374,Hanns Sachs
375,Robert Lach
376,Curt Oertel
377,Guido Seeber
378,June Tripp
379,Ivor Novello
380,Marie Ault
381,Arthur Chesney
382,Malcolm Keen
383,Wallace Bosco
384,Daisy Campbell
385,Maudie Dunham
386,Reginald Gardiner
387,Eve Gray
388,Alfred Hitchcock
389,Marie Belloc Lowndes
390,Eliot Stannard
391,Ashley Irwin
392,Gaetano di Ventimiglia
393,Ivor Montagu
394,Brigitte Helm
395,Alfred Abel
396,Gustav Fröhlich
397,Fritz Rasp
398,Theodor Loos
399,Erwin Biswanger
400,Heinrich George
401,Fritz Alberti
402,Grete Berger
403,Fritz Lang
404,Thea von Harbou
405,Maximianno Cobra
406,Sandro Forte
407,Gottfried Huppertz
408,Karl Freund
409,Günther Rittau
410,Walter Ruttmann
411,Aleksandra Khokhlova
412,Sergey Komarov
413,Vladimir Fogel
414,Pyotr Galadzhev
415,Porfiri Podobed
416,Lev Kuleshov
417,Jack London
418,Viktor Shklovskiy
419,Konstantin Kuznetsov
420,Rudolph Valentino
421,Vilma Bánky
422,George Fawcett
423,Montagu Love
424,Karl Dane
425,Bull Montana
426,Bynunsky Hyman
427,Agnes Ayres
428,Harry Blassingame
429,Earl Gordon Bostwick
430,George Fitzmaurice
431,Edith Maude Hull
432,Frances Marion
433,Frédérique De Grésac
434,George Marion Jr.
435,Artur Guttmann
436,Jack Ward
437,Laura La Plante
438,Forrest Stanley
439,Gertrude Astor
440,Flora Finch
441,Arthur Edmund Carewe
442,Martha Mattox
443,Lucien Littlefield
444,Paul Leni
445,John Willard
446,Robert F. Hill
447,Alfred A. Cohn
448,Walter Anthony
449,Gilbert Warrenton
450,Martin G. Cohn
451,Anne Cornwall
452,Flora Bramley
453,Harold Goodwin
454,Carl Harbaugh
455,Sam Crawford
456,Florence Turner
457,Lee Barnes
458,Robert Boling
459,James W. Horne
460,Bryan Foy
461,Bert Haines
462,Devereaux Jennings
463,Sherman Kell
464,Marion Mack
465,Glen Cavender
466,Jim Farley
467,Frank Barnes
468,Charles Henry Smith
469,Mike Donlin
470,Tom Nawn
471,Al Boasberg
472,The Alloy Orchestra
473,Al Jolson
474,Warner Oland
475,Eugenie Besserer
476,Otto Lederer
477,Robert Gordon
478,Richard Tucker
479,Yossele Rosenblatt
480,Charlene Aber
481,Arline Abers
482,Alan Crosland
483,Samson Raphaelson
484,Jack Jarmuth
485,Hal Mohr
486,Harold McCord
487,Carl Brisson
488,Lillian Hall-Davis
489,Ian Hunter
490,Forrester Harvey
491,Harry Terry
492,Gordon Harker
493,Eugene Corri
494,Charles Farrell
495,Clare Greet
496,Lawrence Hanray
497,Jack E. Cox
498,George O'Brien
499,Janet Gaynor
500,Margaret Livingston
501,Bodil Rosing
502,J. Farrell MacDonald
503,Ralph Sipperly
504,Jane Winton
505,Arthur Housman
506,Eddie Boland
507,Herman Bing
508,Hermann Sudermann
509,H.H. Caldwell
510,Merna Kennedy
511,Al Ernest Garcia
512,Harry Crocker
513,Tiny Sandford
514,John Rand
515,Steve Murphy
516,Maria Falconetti
517,Eugene Silvain
518,André Berley
519,Maurice Schutz
520,Antonin Artaud
521,Michel Simon
522,Jean d'Yd
523,Louis Ravet
524,Armand Lurville
525,Jacques Arnna
526,Carl Theodor Dreyer
527,Joseph Delteil
528,Jesper Kyd
529,Ole Schmidt
530,Rudolph Maté
531,Tom McGuire
532,Tom Lewis
533,Marion Byron
534,James T. Mack
535,Ford West
536,Charles Reisner
537,Walt Disney
538,Ub Iwerks
539,Bessie Love
540,Anita Page
541,Charles King
542,Eddie Kane
543,J. Emmett Beck
544,Jed Prouty
545,Kenneth Thomson
546,The Angeles Twins
547,Betty Arthur
548,Nacio Herb Brown
549,Harry Beaumont
550,Edmund Goulding
551,Norman Houston
552,James Gleason
553,John Arnold
554,Sam Zimbalist
555,Mikhail Kaufman
556,Elizaveta Svilova
557,Dziga Vertov
558,Pierre Henry
559,Nigel Humberstone
560,Konstantin Listov
561,Michael Nyman
562,Groucho Marx
563,Harpo Marx
564,Chico Marx
565,Zeppo Marx
566,The Marx Brothers
567,Oscar Shaw
568,Mary Eaton
569,Cyril Ring
570,Kay Francis
571,Margaret Dumont
572,Robert Florey
573,Joseph Santley
574,George S. Kaufman
575,Morrie Ryskind
576,George J. Folsey
577,Pierre Batcheff
578,Simone Mareuil
579,Luis Buñuel
580,Pancho Cossío
581,Salvador Dalí
582,Juan Esplandiu
583,Robert Hommet
584,Marval
585,Fano Messan
586,Jaume Miravitlles
587,Albert Duverger
588,Lew Ayres
589,Louis Wolheim
590,John Wray
591,Arnold Lucy
592,Ben Alexander
593,Scott Kolk
594,Owen Davis Jr.
595,Walter Rogers
596,William Bakewell
597,Russell Gleason
598,Lewis Milestone
599,Erich Maria Remarque
600,Maxwell Anderson
601,George Abbott
602,Del Andrews
603,Carl Laemmle Jr.
604,Edgar Adams
605,Milton Carruth
606,Lillian Roth
607,Louis Sorin
608,Hal Thompson
609,Margaret Irving
610,Victor Heerman
611,Bert Kalmar
612,Harry Ruby
613,Greta Garbo
614,Charles Bickford
615,George F. Marion
616,Marie Dressler
617,Lee Phelps
618,Jack Baxley
619,William H. O'Brien
620,Robert Parrish
621,Clarence Brown
